A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
2020130 032126440 1 10 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
2020131 032126450 1 12 ///// 00073 N///// E///// Z///// P///P///P///P///P///P///                
2020230 032126390 1 12 ///// 00072 N///// E///// Z///// P///P///P///P///P///P///                
2020730 032126460 1 08 ///// 00026 N///// E///// Z///// P///P///P///P///P///P///                
2020830 032126390 1 07 ///// 00029 N///// E///// Z///// P///P///P///P///P///P///                
2021300 032126211 1 12 26356 00062 N00059 E00057 Z00023 F079F079F078F078F080F080                
2021530 032126460 1 14 ///// 00068 N///// E///// Z///// P///P///P///P///P///P///                
2021832 032126430 1 12 ///// 00055 N///// E///// Z///// P///P///P///P///P///P///                
2021930 032126400 1 12 ///// 00051 N///// E///// Z///// P///P///P///P///P///P///                
2022430 032126440 1 07 ///// 00023 N///// E///// Z///// P///P///P///P///P///P///                
2022431 032126410 1 11 ///// 00030 N///// E///// Z///// P///P///P///P///P///P///                
2030001 032126264 1 05 26396 00026 N00023 E00025 Z00011 F072F072F074F074F087P205                
2030030 032126390 1 12 ///// 00048 N///// E///// Z///// P///P///P///P///P///P///                
2030031 032126430 1 09 ///// 00026 N///// E///// Z///// P///P///P///P///P///P///                
2030330 032126430 1 11 ///// 00029 N///// E///// Z///// P///P///P///P///P///P///                
2101600 032126379 1 05 26389 00022 N00021 E00016 Z00011 F059F037F047F047F055F110                
2101630 032126421 1 14 ///// 00066 N00061 E00044 Z00041 P002P///P002P///P001P///                
2120100 032126355 1 10 26490 00039 N00023 E00028 Z00028 F063F032F071F071F051F052                
2120130 032126506 1 12 ///// 00038 N00035 E00022 Z00017 P003P///P003P///P002P///                
2120300 032126499 1 06 26516 00034 N00033 E00027 Z00008 F063F063F064F064F097F094                
2121230 032126584 1 09 ///// 00021 N00017 E00017 Z00008 P005P///P004P///P003P///                
2121330 032126438 1 11 ///// 00066 N00040 E00063 Z00016 P001P///P002P///P002P///                
A2006010323281341 003 360022 006 1371716 008 114804020V   5111  4141äÚïååßîÚëÀínï˚            1K
4300036 032328205 1 08 ///// 00185 N00183 E00070 Z00059 P002P///P002P///P002P///                
A2006010400115405 003 340748 010 1350755 014  74105522V   5111  5190ãIà…êÖìπ                  3K
5500131 040011560 1 09 ///// 00124 N00086 E00099 Z00096 F076P///F197P///F223P///                
5500300 040011554 1 07 11555 00296 N00081 E00175 Z00273 F143F143F139F139F283P205                
5500320 040011564 1 08 11564 00215 N00198 E00133 Z00081 F131F131F133F133F164F164                
A2006010400423973 012 314376 032 1320565 066 441020641D42V5112  7300ì˙å¸ìÂ                   13K
7600330 040043020 2 16 ///// 00086 N00051 E00074 Z00069 P///P///P///P///P///P///                
7620001 040042532 2 15 43016 00083 N00074 E00046 Z00010 F044F044F045F045F060F124                
7620020 040042520 2 15 ///// 00060 N00058 E00040 Z00028 P///P///P///P///P///P///                
7620100 040042543 2 16 43030 00077 N00077 E00016 Z00010 F046F046F048F048F080F125                
7620730 040043030 2 15 ///// 00080 N00040 E00073 Z00015 P///P///P///P///P///P///                
7420000 040043029 1 05 43033 00024 N00014 E00015 Z00023 F036F036F061F039F067F067                
7600220 040042541 1 12 43044 00085 N00081 E00058 Z00025 F082F078F081F080F115F114                
7600230 040043020 1 13 ///// 00087 N00065 E00057 Z00016 P///P///P///P///P///P///                
7600400 040042536 1 10 43017 00061 N00022 E00057 Z00012 F037F037F036F036F076P205                
7620030 040043010 1 13 ///// 00038 N00028 E00032 Z00022 P///P///P///P///P///P///                
7620120 040042524 1 07 43031 00026 N00023 E00019 Z00018 F021F062F020F027F058F024                
7620131 040043030 1 12 ///// 00038 N00025 E00023 Z00033 P///P///P///P///P///P///                
7630100 040042588 1 08 43145 00031 N00019 E00030 Z00020 F058F058F032F032F068F386                
A2006010406510854 007 371371 024 1385046 034  88711625V   5111  4132êVäÉåßíÜâzínï˚            1K
3710300 040651125 1 06 51134 00064 N00050 E00046 Z00034 F086F086F095F095F100F157                
A2006010413480544 012 314373 031 1320595 065 442920037V   5111  7300ì˙å¸ìÂ                    5K
7600220 041348293 1 08 48298 00046 N00045 E00034 Z00014 F082F082F081F081F115F114                
7600330 041348280 1 09 ///// 00047 N00020 E00047 Z00033 P///P///P///P///P///P///                
7620001 041348199 1 06 48275 00035 N00022 E00029 Z00006 F044F044F042F042F060F133                
7620020 041348260 1 05 ///// 00017 N00015 E00016 Z00011 P///P///P///P///P///P///                
7620100 041348282 1 08 48290 00031 N00031 E00009 Z00006 F046F046F047F052F183F081                
A2006010415243180 009 401152 021 1415398 044 388406239V37d5111  2 61ä‚éËåßâ´                 21K
2020000 041524428 1 11 24494 00122 N00110 E00078 Z00047 F063F063F188F061F131F246                
2020001 041524431 1 06 24455 00103 N00093 E00083 Z00031 F278F278F279F279F200F316                
2020131 041524580 1 06 ///// 00088 N///// E///// Z///// P///P///P///P///P///P///                
2021500 041524453 1 14 24540 00119 N00104 E00060 Z00088 F070F070F075F075F078F078                
2021830 041524510 1 06 ///// 00072 N///// E///// Z///// P///P///P///P///P///P///                
2021832 041524510 1 09 ///// 00149 N///// E///// Z///// P///P///P///P///P///P///                
2021930 041524480 1 13 ///// 00164 N///// E///// Z///// P///P///P///P///P///P///                
2100020 041524510 1 06 ///// 00042 N00036 E00021 Z00035 P001P///P001P///P002P///                
2100600 041524386 1 07 24441 00091 N00088 E00068 Z00057 F142F142F095F095F192P205                
2100630 041524453 1 14 ///// 00210 N00134 E00189 Z00062 P001P///P001P///P001P///                
2100730 041524446 1 10 ///// 00083 N00064 E00083 Z00053 P001P///P001P///P001P///                
2101600 041524425 1 10 24452 00060 N00052 E00030 Z00039 F036F036F051F051F097F097                
2101630 041524400 1 13 ///// 00105 N00098 E00096 Z00095 P001P///P001P///P001P///                
2120030 041524545 1 13 ///// 00136 N00133 E00082 Z00063 P001P///P001P///P001P///                
2120100 041524428 1 05 24495 00055 N00033 E00046 Z00055 F165F149F152F068F142F146                
2120130 041524526 1 05 ///// 00029 N00026 E00026 Z00013 P003P///P002P///P001P///                
2120300 041524455 1 07 24489 00074 N00056 E00072 Z00023 F175F175F063F063F109P205                
2120330 041524475 1 06 ///// 00184 N00163 E00117 Z00059 P001P///P001P///P001P///                
2120430 041524519 1 10 ///// 00085 N00083 E00073 Z00032 P001P///P001P///P001P///                
2121330 041524481 1 08 ///// 00054 N00050 E00040 Z00031 P001P///P001P///P001P///                
