3000130 031613240 2 15 ///// 00064 N00058 E00047 Z00040 P///P///P///P///P///P///                
3000131 031613210 2 17 ///// 00119 N00090 E00092 Z00074 P///P///P///P///P///P///                
3000231 031613290 2 15 ///// 00085 N00062 E00083 Z00033 P///P///P///P///P///P///                
3000320 031613161 2 17 13238 00124 N00123 E00061 Z00049 F054F055F055F056F117F091                
3000330 031613370 2 16 ///// 00110 N00105 E00067 Z00056 P///P///P///P///P///P///                
3000430 031613160 2 22 ///// 00375 N00285 E00257 Z00065 P///P///P///P///P///P///                
3000620 031613290 2 16 13304 00100 N00070 E00089 Z00032 F060F060F060F062F091F091                
3002930 031613270 2 21 ///// 00152 N00141 E00136 Z00030 P///P///P///P///P///P///                
3003130 031613300 2 20 ///// 00128 N00075 E00118 Z00041 P///P///P///P///P///P///                
3003131 031613280 2 20 ///// 00168 N00148 E00124 Z00054 P///P///P///P///P///P///                
3010001 031613269 2 15 13455 00109 N00084 E00083 Z00033 F060F060F061F061F094F094                
3016120 031613361 2 18 13403 00113 N00093 E00102 Z00043 F070F069F071F070F076F068                
3100230 031613350 2 15 ///// 00093 N00081 E00073 Z00033 P002P002P003P002P002P001                
3100231 031613210 2 21 ///// 00109 N00090 E00099 Z00077 P004P004P004P004P002P002                
3110000 031613266 2 16 13409 00083 N00077 E00074 Z00013 F049F049F054F054F100F123                
3110032 031613320 2 17 ///// 00101 N00090 E00077 Z00032 P003P002P002P002P002P001                
3111520 031613217 2 22 13375 00159 N00133 E00138 Z00035 F056F053F056F060F089F085                
3112730 031613380 2 15 ///// 00049 N00041 E00042 Z00039 P005P006P005P006P002P002                
3113600 031613227 2 17 13339 00078 N00065 E00073 Z00034 F037F037F032F032F088F088                
3113731 031613500 2 19 ///// 00110 N00063 E00107 Z00053 P003P004P002P002P003P004                
2110130 031614039 1 08 ///// 00030 N00025 E00029 Z00011 P003P///P001P///P001P///                
2110220 031614091 1 06 14120 00024 N00023 E00023 Z00009 F036F039F036F036F047F081                
2130220 031614068 1 10 14134 00039 N00037 E00026 Z00009 F062F053F055F054F034F046                
2130431 031613581 1 09 ///// 00050 N00033 E00045 Z00020 P002P///P001P///P001P///                
2130439 031613575 1 08 ///// 00035 N00029 E00034 Z00010 P002P///P002P///P001P///                
2200200 031613542 1 08 14021 00034 N00034 E00022 Z00005 F056F055F054F054F069F047                
2200220 031613566 1 06 14005 00024 N00021 E00019 Z00009 F049F051F051F051F105F090                
2200730 031613520 1 14 ///// 00053 N00047 E00041 Z00021 P004P///P004P///P002P///                
2201031 031613510 1 11 ///// 00031 N00030 E00023 Z00010 P004P///P002P///P003P///                
2201600 031613408 1 10 13507 00034 N00030 E00034 Z00013 F034F034F070F070F072F072                
2205200 031613538 1 05 14030 00028 N00020 E00028 Z00007 F041F041F076F076F080F104                
2205220 031613524 1 06 13552 00028 N00027 E00021 Z00007 F074F074F062F061F076F069                
2205231 031613560 1 07 ///// 00027 N00027 E00021 Z00010 P002P///P002P///P002P///                
2205233 031613580 1 07 ///// 00032 N00032 E00027 Z00012 P002P///P002P///P002P///                
2205235 031613580 1 08 ///// 00019 N00017 E00019 Z00010 P003P///P004P///P002P///                
2205236 031613550 1 06 ///// 00027 N00026 E00024 Z00011 P001P///P002P///P002P///                
2205300 031613421 1 09 13564 00044 N00037 E00041 Z00009 F073F073F058F058F046F205                
2205320 031613514 1 05 13534 00029 N00027 E00024 Z00010 F099F101F059F061F059F059                
2205330 031613540 1 09 ///// 00022 N00015 E00019 Z00016 P009P///P003P///P003P///                
2205331 031613590 1 05 ///// 00019 N00019 E00015 Z00014 P010P///P010P///P002P///                
2205332 031613520 1 07 ///// 00019 N00016 E00017 Z00012 P005P///P004P///P002P///                
2205334 031613520 1 08 ///// 00028 N00021 E00024 Z00009 P002P///P003P///P002P///                
2205500 031613486 1 07 13516 00033 N00027 E00029 Z00007 F067F067F069F069F075F141                
2205520 031613460 1 08 13547 00062 N00052 E00060 Z00014 F103F103F092F092F092F097                
2205630 031613490 1 08 ///// 00029 N00024 E00028 Z00011 P002P///P003P///P002P///                
2205631 031613440 1 10 ///// 00023 N00021 E00017 Z00014 P004P///P004P///P004P///                
2205700 031613404 1 11 13541 00031 N00030 E00023 Z00012 F031F031F032F032F045F096                
2205721 031613504 1 08 13542 00031 N00031 E00020 Z00008 F048F049F043F043F045F046                
2205730 031613490 1 11 ///// 00041 N00035 E00029 Z00017 P003P///P003P///P002P///                
2205731 031613430 1 07 ///// 00023 N00023 E00013 Z00011 P003P///P002P///P002P///                
2205732 031613460 1 11 ///// 00045 N00043 E00027 Z00017 P002P///P003P///P002P///                
2210700 031613279 1 12 13388 00063 N00057 E00059 Z00030 F060F106F063F063F076F089                
2211230 031613380 1 09 ///// 00030 N00028 E00025 Z00021 P002P///P002P///P002P///                
2211700 031613196 1 13 13318 00068 N00067 E00057 Z00035 F058F058F059F059F070F070                
2211730 031613330 1 14 ///// 00048 N00039 E00037 Z00029 P004P///P011P///P002P///                
2220000 031613337 1 10 13457 00052 N00045 E00040 Z00015 F069F069F055F055F058F075                
2220040 031613400 1 10 ///// 00040 N00036 E00025 Z00023 P002P///P002P///P002P///                
2220041 031613400 1 08 ///// 00028 N00027 E00025 Z00024 P002P///P002P///P002P///                
2220100 031613310 1 13 13407 00046 N00043 E00040 Z00022 F053F053F049F049F055F055                
2220120 031613399 1 11 13445 00049 N00033 E00043 Z00021 F055F040F054F050F088F089                
2220240 031613400 1 14 ///// 00068 N00033 E00068 Z00016 P002P///P002P///P002P///                
2220340 031613400 1 09 ///// 00030 N00023 E00029 Z00022 P002P///P002P///P002P///                
2220440 031613400 1 14 ///// 00062 N00062 E00041 Z00016 P002P///P002P///P002P///                
2220520 031613442 1 08 13475 00032 N00028 E00031 Z00011 F050F050F051F051F022F023                
2220521 031613484 1 05 13486 00030 N00029 E00028 Z00017 F089F102F108F045F095F094                
2220530 031613510 1 05 ///// 00019 N00017 E00012 Z00013 P005P///P005P///P002P///                
2220532 031613500 1 06 ///// 00016 N00015 E00014 Z00011 P003P///P002P///P005P///                
2220830 031613470 1 09 ///// 00026 N00023 E00026 Z00015 P004P///P003P///P003P///                
2220831 031613440 1 09 ///// 00052 N00044 E00041 Z00011 P001P///P001P///P002P///                
2221030 031613410 1 08 ///// 00042 N00031 E00033 Z00026 P003P///P001P///P001P///                
2221130 031613430 1 09 ///// 00024 N00022 E00019 Z00013 P007P///P005P///P003P///                
2221220 031613463 1 06 13464 00023 N00017 E00022 Z00011 F056F067F048F062F031F031                
2221530 031613460 1 11 ///// 00042 N00039 E00036 Z00018 P002P///P002P///P002P///                
2221730 031613460 1 06 ///// 00037 N00026 E00035 Z00018 P002P///P002P///P002P///                
2420230 031613473 1 09 ///// 00026 N00024 E00024 Z00010 P003P///P002P///P003P///                
2420530 031613497 1 08 ///// 00031 N00030 E00025 Z00008 P002P///P003P///P001P///                
2420800 031613492 1 05 13521 00027 N00016 E00027 Z00007 F041F041F054F054F055F037                
2430020 031613375 1 08 13451 00025 N00020 E00023 Z00008 F030F030F029F029F075F077                
2500331 031613210 1 11 ///// 00048 N///// E///// Z///// P///P///P///P///P///P///                
2500432 031613200 1 11 ///// 00079 N///// E///// Z///// P///P///P///P///P///P///                
2503120 031613262 1 08 13264 00052 N00049 E00021 Z00019 F025F084F060F061F059F051                
2503330 031613260 1 12 ///// 00078 N///// E///// Z///// P///P///P///P///P///P///                
2503430 031613160 1 11 ///// 00112 N///// E///// Z///// P///P///P///P///P///P///                
