code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,beginning,end,date_b_sub,date_e_sub,duration,ge1_raw,rge1_ras,ge1_raw_py,rge1_ras_py,ge2_raw,rge2_ras,ge2_raw_py,rge2_ras_py,ge3_raw,rge3_ras,ge3_raw_py,rge3_ras_py,ge4_raw,rge4_ras,ge4_raw_py,rge4_ras_py,ge5_raw,rge5_ras,ge5_raw_py,rge5_ras_py,ge6_raw,rge6_ras,ge6_raw_py,rge6_ras_py,ge7_raw,rge7_ras,ge7_raw_py,rge7_ras_py,est7,est6,est5,slope,intercept,rvalue
2301930,八峰町八森中浜＊,4022,14001,199711101200,200909140600.0,40.36666666666667,140.01666666666668,1997-11-10,2009-09-14,1919-01-01,2019-12-31,1997-11-10,2009-09-14,11.844185712232283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301931,八峰町峰浜水沢＊,4018,14002,199711101200,200610041200.0,40.3,140.03333333333333,1997-11-10,2006-10-04,1919-01-01,2019-12-31,1997-11-10,2006-10-04,8.898197772712649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301932,八峰町峰浜目名潟＊,4019,14002,200909301700,,40.31666666666667,140.03333333333333,2009-09-30,2019-12-31,1919-01-01,2019-12-31,2009-09-30,2019-12-31,10.250723834164972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310000,秋田市山王,3943,14006,192199999999,,39.71666666666667,140.1,1921-01-01,2019-12-31,1919-01-01,2019-12-31,1921-01-01,2019-12-31,98.99724155869046,915.0,468.0,9.242681771668787,9.242681771668787,312.0,179.0,3.1516029647657504,3.1516029647657504,90.0,52.0,0.9091162398362741,0.9091162398362741,19.0,11.0,0.1919245395209912,0.1919245395209912,3.0,2.0,0.030303874661209138,0.030303874661209138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007968787133364201,0.004063300109269118,0.02071884654674691,-0.707486673985409,71.41656272051398,-0.9996403035062899
2310001,秋田市雄和女米木,3933,14012,199604011200,,39.55,140.2,1996-04-01,2019-12-31,1919-01-01,2019-12-31,1996-04-01,2019-12-31,23.748605378618315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310020,秋田市八橋運動公園＊,3943,14006,200606201200,,39.71666666666667,140.1,2006-06-20,2019-12-31,1919-01-01,2019-12-31,2006-06-20,2019-12-31,13.530736428537205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310030,秋田市消防庁舎＊,3943,14006,199711101200,201803221200.0,39.71666666666667,140.1,1997-11-10,2018-03-22,1919-01-01,2019-12-31,1997-11-10,2018-03-22,20.36181441097353,379.0,143.0,18.61327248890682,18.61327248890682,118.0,49.0,5.795161355385236,5.795161355385236,27.0,12.0,1.3260114965711982,1.3260114965711982,5.0,3.0,0.2455576845502219,0.2455576845502219,1.0,1.0,0.04911153691004438,0.04911153691004438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003901028798966135,0.013513560163197488,0.046812345587593604,-0.5395906230238124,23.351431962005258,-0.9977736064345157
2310031,秋田市河辺和田＊,3939,14013,199711101200,,39.65,140.21666666666667,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,592.0,228.0,26.740484788523375,26.740484788523375,187.0,90.0,8.446740972050458,8.446740972050458,33.0,18.0,1.4906013480089044,1.4906013480089044,7.0,5.0,0.3161881647291615,0.3161881647291615,2.0,1.0,0.0903394756369033,0.0903394756369033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002650653637523883,0.011245770970019553,0.047711765475429845,-0.627636252551653,65.585336297154,-0.997854032623762
2310032,秋田市雄和妙法（旧）＊,3935,14010,199711101200,201201051200.0,39.583333333333336,140.16666666666666,1997-11-10,2012-01-05,1919-01-01,2019-12-31,1997-11-10,2012-01-05,14.152241319123595,260.0,95.0,18.371648287869995,18.371648287869995,229.0,80.0,16.18118253047011,16.18118253047011,61.0,20.0,4.3102713290771915,4.3102713290771915,16.0,6.0,1.1305629715612304,1.1305629715612304,3.0,2.0,0.2119805571677307,0.2119805571677307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013886043513474215,0.04391152519078554,0.13886043513474214,-0.5,43.91152519078554,-0.9996512245609486
2310033,秋田市雄和妙法＊,3935,14010,201201051200,201801191200.0,39.583333333333336,140.16666666666666,2012-01-05,2018-01-19,1919-01-01,2019-12-31,2012-01-05,2018-01-19,6.039822857416648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311300,由利本荘市石脇,3924,14003,199604011200,,39.4,140.05,1996-04-01,2019-12-31,1919-01-01,2019-12-31,1996-04-01,2019-12-31,23.748605378618315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311320,由利本荘市桜小路＊,3923,14003,200606201200,,39.38333333333333,140.05,2006-06-20,2019-12-31,1919-01-01,2019-12-31,2006-06-20,2019-12-31,13.530736428537205,100.0,50.0,7.390580736543909,7.390580736543909,81.0,37.0,5.986370396600567,5.986370396600567,18.0,8.0,1.3303045325779037,1.3303045325779037,5.0,3.0,0.36952903682719546,0.36952903682719546,1.0,1.0,0.07390580736543909,0.07390580736543909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094213686807992,0.026647654729006664,0.07537094944639354,-0.4515449934959717,13.6435992212514,-0.9994657154190508
2311321,由利本荘市鳥海町伏見＊,3912,14011,199606011200,,39.2,140.18333333333334,1996-06-01,2019-12-31,1919-01-01,2019-12-31,1996-06-01,2019-12-31,23.581593051192016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311330,由利本荘市尾崎＊,3923,14003,199711101200,201803221200.0,39.38333333333333,140.05,1997-11-10,2018-03-22,1919-01-01,2019-12-31,1997-11-10,2018-03-22,20.36181441097353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311331,由利本荘市矢島町矢島町（旧）＊,3914,14008,199711101200,201508231200.0,39.233333333333334,140.13333333333333,1997-11-10,2015-08-23,1919-01-01,2019-12-31,1997-11-10,2015-08-23,17.782706010390356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
