5110300 092305000 1 // ///// ///// N///// E///// Z/////                                         
A1958020923595999                                            1      時分不明データ  　　　    1D
2220100 ///////// 1 // ///// ///// N///// E///// Z/////                                   *    1
A1958021111583195 071 430916 616 1455183 450 72           5211  1 27根室半島南東沖            2K
1610000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
1670000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802111209     99  2447   99  12517   99   0            8 2      詳細不明                  1N
8040600 ///////// 2 // ///// ///// N///// E///// Z/////                                         
A19580211145107   99  3551   99  13738   99   0            8 1      詳細不明                  1N
4223970 111451    1 // ///// ///// N///// E///// Z/////                                         
A195802111848     99  3615   99  13758   99   0            8 2      詳細不明                  1N
4210000 111848253 2 // ///// ///// N///// E///// Z/////                                         
A1958021308313141 048 425516 221 1452851 256 66     53D   5212  1 27釧路沖                    6K
1610000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
1670000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
1400000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
1520000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2020000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2130171 130843    1 // ///// ///// N///// E///// Z/////                                         
A195802141415     99  3939   99  14158   99   0            8 2      詳細不明                  1N
2100000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
A1958021504293996 069 381036 203 1424252 295 13     51J   5211  2 65宮城県沖                  2K
2120000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2130171 150431    1 // ///// ///// N///// E///// Z/////                                         
A1958021510464598 083 432976 526 1471342 411  0     60J   5212  1 26北海道東方沖              3K
1610000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
1670000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
1520000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802151820     99  3414   99  13510   99   0            8 1      詳細不明                  1N
5500000 151820000 1 // ///// ///// N///// E///// Z/////                                         
A1958021604300    99  3451   99  13302   99   0            8 1      詳細不明                  1N
5900170 160430    1 // ///// ///// N///// E///// Z/////                                         
A1958021615040906 048 382997 128 1421326 263 39     61J   5213  2 65宮城県沖                 33K
2100000 ///////// 3 // ///// ///// N///// E///// Z/////                                         
2120000 ///////// 3 // ///// ///// N///// E///// Z/////                                         
2120270 161504    3 // ///// ///// N///// E///// Z/////                                         
2130170 161505    3 // ///// ///// N///// E///// Z/////                                         
2130171 161505    3 // ///// ///// N///// E///// Z/////                                         
2132670 161503    3 // ///// ///// N///// E///// Z/////                                         
2132770 161504277 3 // ///// ///// N///// E///// Z/////                                         
2205271 161505    3 // ///// ///// N///// E///// Z/////                                         
2220500 ///////// 3 // ///// ///// N///// E///// Z/////                                         
2500000 ///////// 3 // ///// ///// N///// E///// Z/////                                         
2500170 161504    3 // ///// ///// N///// E///// Z/////                                         
2500200 ///////// 3 // ///// ///// N///// E///// Z/////                                         
2020000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2220100 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2420000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2510000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
3000000 161504487 2 // ///// ///// N///// E///// Z/////                                         
3010200 161504513 2 // ///// ///// N///// E///// Z/////                                         
3100071 161504000 2 // ///// ///// N///// E///// Z/////                                         
3110000 161504507 2 // ///// ///// N///// E///// Z/////                                         
3500000 161505022 2 // ///// ///// N///// E///// Z/////                                         
1520000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
1610000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2000000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2400100 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2410000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
2520000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
3011170 161505    1 // ///// ///// N///// E///// Z/////                                         
3011171 161505    1 // ///// ///// N///// E///// Z/////                                         
3100000 161504000 1 // ///// ///// N///// E///// Z/////                                         
3400000 161504561 1 // ///// ///// N///// E///// Z/////                                         
4400000 161505143 1 // ///// ///// N///// E///// Z/////                                         
4421800 161505190 1 // ///// ///// N///// E///// Z/////                                         
A1958021617355690 011 330481 046 1302860 061  0           5211  7264福岡県筑後地方            2K
7310000 161735573 1 // ///// ///// N///// E///// Z/////                                         
7310270 161737    1 // ///// ///// N///// E///// Z/////                                         
A1958021712561454 063 344971 261 1400187 212 43           5211  3108千葉県南東沖              2K
3420200 171256000 1 // ///// ///// N///// E///// Z/////                                         
4400000 171256281 1 // ///// ///// N///// E///// Z/////                                         
A1958021809201489 022 354592 107 1401382 143 60     43J   5211  3 92千葉県北西部              3K
3100000 180921000 1 // ///// ///// N///// E///// Z/////                                         
3500000 180920261 1 // ///// ///// N///// E///// Z/////                                         
4400000 180920348 1 // ///// ///// N///// E///// Z/////                                         
A195802191047     99  3527   99  13519   99   0            8 1      詳細不明                  1N
5100100 191047000 1 // ///// ///// N///// E///// Z/////                                         
A195802192245506  10  4047   3   14300   6   30           1211  2 60青森県東方沖              1K
2020000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802210422     99  3414   99  13510   99   0            8 1      詳細不明                  1N
5500000 210422000 1 // ///// ///// N///// E///// Z/////                                         
A195802210552     99  3414   99  13510   99   0            8 1      詳細不明                  1N
5500000 210552000 1 // ///// ///// N///// E///// Z/////                                         
A195802210554     99  2447   99  12517   99   0            8 3      詳細不明                  1N
8040600 ///////// 3 // ///// ///// N///// E///// Z/////                                         
A1958022120525837 025 362866 119 1403818 172 52     53J   5213  3 86茨城県沖                 22K
2500200 ///////// 3 // ///// ///// N///// E///// Z/////                                         
3000000 212053074 3 // ///// ///// N///// E///// Z/////                                         
3010200 212053093 3 // ///// ///// N///// E///// Z/////                                         
3011170 212053    3 // ///// ///// N///// E///// Z/////                                         
3100071 212053000 3 // ///// ///// N///// E///// Z/////                                         
3110000 212053112 3 // ///// ///// N///// E///// Z/////                                         
3210270 212053    3 // ///// ///// N///// E///// Z/////                                         
2500000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2510000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2520000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
3100072 212054    2 // ///// ///// N///// E///// Z/////                                         
3200070 212054    2 // ///// ///// N///// E///// Z/////                                         
3300000 212053169 2 // ///// ///// N///// E///// Z/////                                         
3320000 212053226 2 // ///// ///// N///// E///// Z/////                                         
3400000 212053122 2 // ///// ///// N///// E///// Z/////                                         
3210000 212053195 1 // ///// ///// N///// E///// Z/////                                         
