2021832 091208070 1 09 ///// 00031 N///// E///// Z/////                                         
2022430 091208100 1 06 ///// 00016 N///// E///// Z/////                                         
2022431 091208060 1 12 ///// 00026 N///// E///// Z/////                                         
2030000 091207566 1 07 08040 00020 N00014 E00018 Z00008                                         
2030430 091207560 1 10 ///// 00039 N///// E///// Z/////                                         
2120000 091208198 1 12 08252 00029 N00016 E00028 Z00005                                         
2120100 091208000 1 12 08137 00037 N00021 E00033 Z00012                                         
2205500 091208375 1 06 08411 00015 N00010 E00015 Z00003                                         
A1999010918561512 004 334388 014 1331137 024 112507729V   5111  6233çÇímåßíÜïî                1K
6200200 091856203 1 13 56207 00122 N00089 E00110 Z00064                                         
A1999010919154800 013 374795 037 1414090 072 820112238D42V5111  2 69ïüìáåßâ´                  4K
2205300 091916217 1 05 16225 00032 N00027 E00032 Z00007                                         
2504700 091916209 1 05 16216 00040 N00020 E00038 Z00018                                         
2510600 091916165 1 07 16170 00094 N00070 E00077 Z00020                                         
2510900 091916050 1 07 16150 00070 N00069 E00049 Z00036                                         
A1999010923001511 003 350046 009 1353193 011 151404632V   5112  5184ãûìsï{ìÏïî               13K
5111200 092300179 2 17 00196 00254 N00136 E00215 Z00115                                         
5110300 092300192 1 05 00222 00039 N00022 E00036 Z00033                                         
5110730 092300200 1 09 ///// 00065 N00048 E00051 Z00022                                         
5111100 092300206 1 05 00249 00090 N00088 E00040 Z00054                                         
5111630 092300220 1 13 ///// 00113 N00088 E00101 Z00060                                         
5111730 092300220 1 07 ///// 00066 N00044 E00063 Z00029                                         
5111830 092300220 1 07 ///// 00068 N00058 E00060 Z00056                                         
5113632 092300170 1 08 ///// 00220 N00192 E00177 Z00096                                         
5113660 092300190 1 06 ///// 00148 N00148 E00099 Z00061                                         
5202700 092300231 1 05 00234 00053 N00041 E00045 Z00023                                         
5204130 092300195 1 10 00223 00112 N00087 E00069 Z00068                                         
5204230 092300184 1 07 00214 00066 N00044 E00058 Z00058                                         
5204330 092300185 1 14 00208 00151 N00140 E00145 Z00086                                         
A1999010923222391 005 333373 020 1322569 019 430605037D38V5112  6244à…ó\ìÂ                   20K
6222832 092322340 2 15 22340 00105 N00102 E00097 Z00027                                         
6200200 092322371 1 06 22448 00036 N00028 E00027 Z00008                                         
6211630 092322410 1 08 22416 00048 N00038 E00046 Z00018                                         
6220000 092322331 1 05 22399 00044 N00030 E00042 Z00020                                         
6220031 092322380 1 09 22389 00067 N00053 E00053 Z00037                                         
6220100 092322309 1 07 22360 00144 N00136 E00049 Z00034                                         
6220230 092322360 1 12 22362 00096 N00093 E00059 Z00037                                         
6220430 092322360 1 10 22357 00071 N00048 E00068 Z00014                                         
6222030 092322410 1 13 22414 00107 N00088 E00097 Z00020                                         
6222800 092322365 1 06 22382 00051 N00047 E00046 Z00021                                         
6222830 092322330 1 13 22334 00066 N00065 E00050 Z00024                                         
6222831 092322330 1 09 22331 00103 N00061 E00090 Z00033                                         
7030160 092322365 1 08 22447 00053 N00049 E00033 Z00013                                         
7030260 092322416 1 10 22417 00048 N00047 E00030 Z00013                                         
7030460 092322340 1 10 22403 00055 N00044 E00041 Z00037                                         
7030500 092322374 1 08 22433 00040 N00025 E00035 Z00009                                         
7030530 092322427 1 09 22431 00033 N00031 E00026 Z00024                                         
7030660 092322377 1 08 22423 00040 N00034 E00039 Z00017                                         
7030731 092322396 1 07 22398 00070 N00021 E00067 Z00020                                         
7030761 092322337 1 12 22394 00084 N00073 E00046 Z00019                                         
A1999011004411207 005 331714 018 1312863 024  32207116V   5111  7280ëÂï™åßíÜïî                1K
7510100 100441128 1 06 41134 00118 N00097 E00062 Z00112                                         
A1999011104212752 002 341284 010 1350943 011  86405826V   5111  5190òaâÃéRåßñkïî              2K
5500000 110421294 1 05 21292 00053 N00031 E00038 Z00053                                         
5500130 110421320 1 05 ///// 00039 N00023 E00039 Z00023                                         
A1999011109103946 002 360278 009 1364463 008  63308346D42V5113  4138ïüà‰åßó‰ñk               30K
4000231 110910460 3 27 ///// 00320 N00237 E00260 Z00173                                         
3910200 110910482 2 24 10540 00412 N00338 E00307 Z00067                                         
4000230 110910490 2 15 ///// 00088 N00051 E00085 Z00034                                         
4000300 110910435 2 16 10465 00314 N00134 E00283 Z00084                                         
5101932 110911260 2 15 ///// 00034 N00020 E00034 Z00014                                         
3910100 110910522 1 10 10568 00047 N00040 E00044 Z00015                                         
3910230 110910521 1 14 ///// ///// N///// E///// Z/////                                         
3912333 110910524 1 08 ///// ///// N///// E///// Z/////                                         
3912335 110910482 1 10 ///// ///// N///// E///// Z/////                                         
3912431 110910550 1 10 ///// ///// N///// E///// Z/////                                         
4000000 110910492 1 11 10545 00031 N00020 E00030 Z00010                                         
4000030 110910550 1 13 ///// 00043 N00033 E00038 Z00023                                         
4000731 110910530 1 07 ///// 00034 N00021 E00026 Z00014                                         
4000732 110910460 1 14 ///// 00054 N00044 E00053 Z00019                                         
4001730 110910530 1 06 ///// 00034 N00033 E00026 Z00028                                         
4002331 110910580 1 11 ///// 00035 N00035 E00017 Z00008                                         
4002730 110910580 1 10 ///// 00051 N00045 E00051 Z00019                                         
4002731 110910570 1 09 ///// 00037 N00036 E00019 Z00013                                         
4002930 110910550 1 08 ///// 00029 N00021 E00026 Z00012                                         
4003000 110910527 1 12 10570 00051 N00050 E00029 Z00017                                         
4003030 110910540 1 10 ///// 00036 N00024 E00027 Z00016                                         
4003031 110910560 1 10 ///// 00023 N00018 E00021 Z00011                                         
4003032 110910550 1 14 ///// 00073 N00058 E00044 Z00034                                         
4222200 110911168 1 06 11179 00028 N00024 E00017 Z00009                                         
4300001 110910559 1 05 10561 00039 N00039 E00024 Z00025                                         
4302100 110910558 1 08 10563 00039 N00027 E00030 Z00026                                         
4325200 110910515 1 05 10529 00027 N00021 E00022 Z00013                                         
4511600 110911163 1 05 11485 00022 N00019 E00019 Z00007                                         
4512431 110911012 1 10 11130 00047 N00038 E00033 Z00017                                         
