A1998010812351536 014 280743 087 1302146 071 347812045V43d5113  7296âÇî¸ëÂìáãﬂäC              2K
7780800 081235244 3 26 35316 00179 N00149 E00142 Z00062                                         
7780900 081235315 2 16 35420 00064 N00048 E00044 Z00024                                         
A1998010814145107 028 275625 176 1301524 188 252348131V   5111  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081415007 1 13 15075 00048 N00028 E00047 Z00012                                         
A1998010814174197 016 281216 156 1302194 086 373813332V   5111  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081417509 1 10 17578 00036 N00016 E00034 Z00009                                         
A1998010814211541 012 281176 124 1302533 067 363211131V   5112  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081421249 2 15 21318 00082 N00039 E00081 Z00016                                         
A1998010815001219 032 281089 289 1302550 182 36     30V   5211  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081500220 1 06 00311 00017 N00010 E00015 Z00007                                         
A1998010823463574 006 375184 030 1374031 024 240112142D42V5112  4164ç≤ìnïtãﬂ                 11K
3751031 082346584 2 15 46590 00076 N00058 E00063 Z00016                                         
3751033 082346551 2 17 46570 00192 N00181 E00083 Z00040                                         
3711600 082347054 1 06 47070 00030 N00021 E00027 Z00011                                         
3751030 082346495 1 09 46575 00054 N00039 E00039 Z00022                                         
3751036 082346551 1 09 46567 00066 N00061 E00039 Z00032                                         
3751037 082346461 1 11 46532 00046 N00023 E00043 Z00030                                         
3900000 082347082 1 06 47084 00026 N00023 E00025 Z00007                                         
3900100 082347034 1 09 47058 00024 N00022 E00020 Z00005                                         
3900101 082346485 1 06 46575 00040 N00038 E00032 Z00016                                         
3900600 082347097 1 05 47102 00018 N00017 E00011 Z00008                                         
3902100 082346598 1 07 47021 00029 N00016 E00022 Z00015                                         
A1998010901004960 005 342613 015 1391484 026 135907129V   5112  3103êVìáÅEê_í√ìáãﬂäC          2K
3550002 090100567 2 16 01021 00141 N00121 E00098 Z00037                                         
3560110 090100526 2 15 00549 00140 N00108 E00072 Z00113                                         
A1998010913461051 005 342592 015 1391452 028 143606333V   5112  3103êVìáÅEê_í√ìáãﬂäC          3K
3550002 091346177 2 18 46234 00152 N00145 E00121 Z00050                                         
3560110 091346139 2 19 46154 00247 N00131 E00134 Z00247                                         
3550000 091346223 1 05 46225 00044 N00036 E00034 Z00020                                         
A1998010921083507 004 380542 018 1402358 021 121611040D37V5111  2 53éRå`åßë∫éRínï˚            8K
2211500 092108412 1 14 08451 00201 N00113 E00191 Z00060                                         
2211700 092108429 1 13 08481 00145 N00118 E00103 Z00043                                         
2220000 092108468 1 05 08473 00039 N00033 E00029 Z00010                                         
2420000 092108398 1 11 08419 00091 N00071 E00069 Z00041                                         
2420800 092108479 1 07 08481 00057 N00044 E00040 Z00018                                         
2430000 092108447 1 05 08452 00046 N00035 E00029 Z00016                                         
2430600 092108416 1 06 08455 00048 N00039 E00031 Z00020                                         
2511500 092108481 1 05 08564 00041 N00040 E00017 Z00018                                         
B1998011014010927 003 315020 011 1301749 016  69311937D36V5113  7273é≠éôìáåßéFñÄínï˚          5K
B1998011014013607 006 315113 025 1301746 026  71813931V   511   7273é≠éôìáåßéFñÄínï˚           K
7705200 101401114 3 29 01125 00974 N00967 E00859 Z00214                                         
7700000 101401167 1 06 01226 00030 N00029 E00025 Z00019                                         
7700001 101401167 1 12 01222 00090 N00088 E00052 Z00044                                         
7700200 101401213 1 11 01327 00056 N00042 E00044 Z00041                                         
7705300 101401127 1 06 01130 00064 N00025 E00027 Z00063                                         
A1998011014023054 004 315026 014 1301734 020  74213042D40V5114  7273é≠éôìáåßéFñÄínï˚         16K
7705200 101402100 4 37 02344 01742 N01314 E01652 Z00437                                         
7700000 101402100 2 15 02443 00078 N00064 E00073 Z00045                                         
7700001 101402100 2 16 02433 00157 N00143 E00113 Z00082                                         
7700200 101402200 2 17 02496 00133 N00075 E00082 Z00115                                         
7410100 101402547 1 05 02553 00018 N00016 E00015 Z00004                                         
