E.OKO         1394484330920 840
E.KST         1394812330430 841
E.SYS         1395094330504 842
E.SNJ         1394559330667 843
E.KND         1394787330779 844
E.OSG         1394621322729 845
E.MSO         1394576322707 846
E.CHN         1394553322810 847
E.MKS         1394589322774 848
E.KUM         1360633335745 849
E.ISE         1364626342771 850
E.HBR         1355943343036 851
LG.HRN        1375559350202 852
E.TSP         1373692361342 853
E.DDR2        1391124360014 854
E.NUJ2        1380161370311 855
E.HCJ         1391647353808 856
E.FJZ         1384551352679 857
E.MTS         1383871352550 858
E.RST         1393088340444 859
DP2FKJ        1360739360590 860
NU2YKE        1373398361547 861
NU2UGK        1362815350650 862
NU.MKO        1373611354950 864
E.SRG1        1381976345030 867
E.SRG2        1381074344836 868
DP3FKJ        1360733360585 869
DP2AZJ        1361901352891 871
DP2HMT        1350258351371 873
E2TOS         1391731343141 874
E2NIS         1391645342136 875
E2DDR         1391124360014 878
N.OHS         1380073344115 900
N.NMT         1403483362192 901
N.MSK         1375616351180 902
N.MKB         1373065344829 903
N.IWT         1394409355574 904
N.HTN         1381246351818 905
N.HRM         1394057353325 906
N.HASH        1404393354975 907
N.FCH         1392822353923 908
N.ENZ         1384813354435 909
N.ASY         1382222353832 910
N.ACH         1374410352872 911
N.SHM         1400123354780 912
N.USDH        1383366361107 913
N.YKI         1403033354331 914
N.NMZ         1385058350965 915
N.CBA         1401450353275 916
N.YKH         1393117352995 917
E.KZK         1383075371789 918
E.FUJ         1384055351881 919
E.TSK         1400643361278 920
E.MTB         1393301340644 922
E.TKM         1390909341216 925
N.AKW         1391888353140 926
N.ASO         1392768363806 927
N.ATG         1392123352424 928
N.CHS         1405110354233 930
N.CKR         1395675345824 931
N.EDS         1401981355713 932
N.FJM         1383563351418 933
N.FJWH        1394158365918 934
N.FUT         1395132352067 935
N.GER         1371813354383 936
N.GJK         1392284344428 937
N.HCJ         1395038330463 938
N.HDA         1384810345807 939
N.HHR         1390439354431 940
N.HKN         1390198351320 941
N.HKW         1380810350579 942
N.HRN         1385119362779 943
N.HRT         1391853351921 944
N.ICH         1401042352425 945
N.ITO         1390830345714 946
N.IWK         1395208350609 947
N.KGN         1375813354530 948
N.KGW         1380115345195 949
N.KIB         1403926365285 950
N.KOT         1394875353668 951
N.KRK         1390694352666 952
N.KSH         1372435351565 953
N.KTU         1401594351082 954
N.MIN         1395926350631 955
N.MKE         1393036340655 956
N.MNBH        1385485360866 957
N.MNKH        1390334365049 958
N.MNZ         1390901350874 959
N.MOK         1395712362695 960
N.MOR         1400009355671 961
N.MOT         1401280363340 962
N.NOM         1395843370777 963
N.NJM         1391697342542 964
N.NRT         1401788354984 965
N.NRY         1385758350379 966
N.NSI         1384805344742 967
N.ODK         1392613344546 968
N.ODW         1390625351514 969
N.OHR         1394125362160 970
N.OMC         1374343362968 971
N.OMMH        1391908363002 972
N.OOH         1392419344525 973
N.OSM         1392637344147 974
N.OTR         1375395364935 975
