code_prime,address,codes_ordered,lat,lon,datetime_b_s,datetime_e_s
3500751,東京江東区枝川,"[3500751, 3500754]",3540,13948,"['1999-07-21 12:00:00', '2016-09-20 12:00:00']","['2012-03-27 12:00:00', '2022-01-01 00:00:00']"
3500752,東京江東区亀戸,[3500752],3542,13950,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500753,東京江東区塩浜,[3500753],3540,13948,['2012-03-27 12:00:00'],['2016-09-20 12:00:00']
3500830,東京品川区広町,"[3500830, 3500831]",3537,13944,"['1999-07-21 12:00:00', '2007-03-19 12:00:00']","['2007-03-19 12:00:00', '2022-01-01 00:00:00']"
3500850,東京品川区北品川,[3500850],3537,13944,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500851,東京品川区平塚,[3500851],3537,13943,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500930,東京目黒区中央町,[3500930],3538,13942,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501000,東京国際空港,"[3501000, 3501001, 3501002]",3533,13947,"['2007-07-02 12:00:00', '2014-08-05 12:00:00', '2022-10-13 12:00:00']","['2014-08-05 12:00:00', '2022-10-13 12:00:00', '2022-01-01 00:00:00']"
3501030,東京大田区蒲田,[3501030],3534,13943,['2000-07-18 12:00:00'],['2022-01-01 00:00:00']
3501050,東京大田区大森東,[3501050],3535,13944,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501051,東京大田区多摩川,"[3501051, 3501053]",3534,13942,"['1999-07-21 12:00:00', '2016-11-22 12:00:00']","['2016-11-22 12:00:00', '2022-01-01 00:00:00']"
3501052,東京大田区本羽田,[3501052],3533,13944,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501130,東京世田谷区世田谷,[3501130],3539,13939,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501150,東京世田谷区三軒茶屋,[3501150],3538,13940,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501151,東京世田谷区成城,"[3501151, 3501153]",3538,13936,"['1999-07-21 12:00:00', '2016-11-25 12:00:00']","['2016-11-25 12:00:00', '2022-01-01 00:00:00']"
3501152,東京世田谷区中町,[3501152],3537,13939,['2000-03-28 12:00:00'],['2022-01-01 00:00:00']
3501230,東京渋谷区宇田川町,"[3501230, 3501231]",3540,13942,"['2006-03-22 12:00:00', '2016-01-21 12:00:00']","['2016-01-21 12:00:00', '2022-01-01 00:00:00']"
3501250,東京渋谷区本町,[3501250],3541,13941,['2011-08-02 12:00:00'],['2022-01-01 00:00:00']
3501330,東京中野区中野,[3501330],3542,13940,['2007-04-02 12:00:00'],['2022-01-01 00:00:00']
3501350,東京中野区中央,"[3501350, 3501352]",3542,13940,"['1999-07-21 12:00:00', '2016-11-30 12:00:00']","['2016-11-30 12:00:00', '2022-01-01 00:00:00']"
3501351,東京中野区江古田,[3501351],3544,13940,['2000-03-28 12:00:00'],['2022-01-01 00:00:00']
3501400,東京杉並区阿佐谷,"[3501400, 3501401]",3542,13938,"['1996-04-01 12:00:00', '2006-04-03 12:00:00']","['2006-04-03 12:00:00', '2022-01-01 00:00:00']"
3501450,東京杉並区桃井,[3501450],3543,13936,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501451,東京杉並区高井戸,[3501451],3541,13937,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3501530,東京豊島区東池袋,[3501530],3544,13943,['1999-07-21 12:00:00'],['2015-05-01 12:00:00']
3501531,東京豊島区南池袋,[3501531],3544,13943,['2015-05-01 12:00:00'],['2022-01-01 00:00:00']
