,code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,duration
1459,3720132,新発田市中央町（旧）＊,3757,13920,200403011200,201612261200.0,37.95,139.33333333333334,2004-03-01,2016-12-26,12.82161851372718
1460,3720133,新発田市住田＊,3759,13922,199711101200,,37.983333333333334,139.36666666666667,1997-11-10,2019-12-31,22.138716058509072
1461,3720134,新発田市稲荷岡（旧）＊,3801,13919,199711101200,201702231200.0,38.016666666666666,139.31666666666666,1997-11-10,2017-02-23,19.288554864234037
1462,3720300,村上市塩町,3814,13928,199604011200,,38.233333333333334,139.46666666666667,1996-04-01,2019-12-31,23.748605378618315
1463,3720320,村上市片町＊,3814,13929,200606201200,,38.233333333333334,139.48333333333332,2006-06-20,2019-12-31,13.530736428537205
1464,3720321,村上市寒川＊,3827,13930,200606201200,,38.45,139.5,2006-06-20,2019-12-31,13.530736428537205
1465,3720331,村上市三之町＊,3813,13929,200403011200,,38.21666666666667,139.48333333333332,2004-03-01,2019-12-31,15.83331622141454
1466,3720332,村上市山口＊,3807,13927,199711101200,,38.11666666666667,139.45,1997-11-10,2019-12-31,22.138716058509072
1467,3720333,村上市今宿＊,3811,13927,199711101200,201101061200.0,38.18333333333333,139.45,1997-11-10,2011-01-06,13.155643168579779
1468,3720334,村上市岩沢（旧）＊,3816,13932,199711101200,201101199999.0,38.266666666666666,139.53333333333333,1997-11-10,2011-01-19,13.19123595967063
1469,3720335,村上市府屋（旧）＊,3831,13932,199711101200,201009301700.0,38.516666666666666,139.53333333333333,1997-11-10,2010-09-30,12.887328281894906
1470,3720431,燕市分水桜町（旧）＊,3738,13850,199711101200,201011061700.0,37.63333333333333,138.83333333333334,1997-11-10,2010-11-06,12.98863084115348
1471,3720432,燕市吉田日之出町（旧）＊,3741,13853,199711101200,201010211700.0,37.68333333333333,138.88333333333333,1997-11-10,2010-10-21,12.944824329041664
1472,3720500,五泉市村松乙（旧）,3742,13910,199604011200,201409181200.0,37.7,139.16666666666666,1996-04-01,2014-09-18,18.464444855130495
1473,3720521,五泉市愛宕甲＊,3742,13911,200606201200,,37.7,139.18333333333334,2006-06-20,2019-12-31,13.530736428537205
1474,3720530,五泉市太田＊,3745,13911,199711101200,,37.75,139.18333333333334,1997-11-10,2019-12-31,22.138716058509072
1475,3721330,聖籠町諏訪山（旧）＊,3758,13916,199711101200,201105121300.0,37.96666666666667,139.26666666666668,1997-11-10,2011-05-12,13.50061945146033
1476,3722330,弥彦村矢作（旧）＊,3741,13851,199711101200,201010151700.0,37.68333333333333,138.85,1997-11-10,2010-10-15,12.928396886999733
1477,3723730,関川村下関（旧）＊,3805,13934,199711101200,201010061700.0,38.083333333333336,139.56666666666666,1997-11-10,2010-10-06,12.903755723936836
1478,3724200,粟島浦村笹畑,3828,13915,199407151200,,38.46666666666667,139.25,1996-04-01,2019-12-31,23.748605378618315
1479,3724230,粟島浦村日ノ見山（旧）＊,3828,13915,199711101200,201101061200.0,38.46666666666667,139.25,1997-11-10,2011-01-06,13.155643168579779
1480,3724300,阿賀野市畑江,3749,13919,199407151200,,37.81666666666667,139.31666666666666,1996-04-01,2019-12-31,23.748605378618315
1481,3724330,阿賀野市岡山町＊,3750,13914,200103221200,,37.833333333333336,139.23333333333332,2001-03-22,2019-12-31,18.776566253927186
1482,3724331,阿賀野市保田（旧）＊,3746,13914,199711101200,201010191700.0,37.766666666666666,139.23333333333332,1997-11-10,2010-10-19,12.939348515027687
1483,3724332,阿賀野市姥ヶ橋（旧）＊,3750,13911,199711101200,201011241700.0,37.833333333333336,139.18333333333334,1997-11-10,2010-11-24,13.037913167279273
