,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
2526,4410221,13836,3513,富士宮市野中,[4410221],[],[],2007-06-08,2023-12-31,['2007-06-08'],['2023-12-31'],[3513],[13836],,,6.0,7.0,4955.0,0.8177045662014146
2527,3210000,13904,3624,前橋市昭和町,"[3210000, 3210001]",[0],[0.0],1919-01-01,2023-12-31,"['1919-01-01', '2016-03-29']","['2016-03-29', '2023-12-31']","[3624, 3624]","[13904, 13904]","['1919-01-01', '2016-02-17']",,5.0,6.0,37255.0,0.8177595338126802
2528,7102930,13012,3333,糸島市前原西,"[7102930, 7102932]",[0],[0.0],2002-03-20,2023-12-31,"['2002-03-20', '2011-05-12']","['2011-05-12', '2023-12-31']","[3333, 3333]","[13012, 13012]",,,6.0,7.0,6861.0,0.817843935628524
2529,7431931,13024,3226,上天草市姫戸町,"[7431931, 7431933, 7431935]","[0, 0]","[0.0, 2.42, 2.42]",1998-10-15,2023-12-31,"['1998-10-15', '2011-05-12', '2016-11-30']","['2011-05-12', '2016-11-30', '2023-12-31']","[3226, 3226, 3227]","[13024, 13024, 13025]",,,5.0,6.0,8113.0,0.8179062456631291
2530,7600033,13142,3241,延岡市北川町総合支所,[7600033],[],[],1998-10-15,2023-12-31,['1998-10-15'],['2023-12-31'],[3241],[13142],,,4.0,5.0,8113.0,0.8179671650851738
2531,2205220,14101,3844,栗原市築館,"[2205220, 2205221]",[0],[1.45],2004-05-26,2023-12-31,"['2004-05-26', '2012-12-21']","['2012-12-21', '2023-12-31']","[3844, 3844]","[14101, 14102]",,,7.0,8.0,6063.0,0.8180070229774976
2532,4120331,13906,3538,上野原市役所,[4120331],[],[],2001-05-10,2023-12-31,['2001-05-10'],['2023-12-31'],[3538],[13906],,,5.0,6.0,7175.0,0.8181823719560604
2533,3110232,13939,3616,栃木市藤岡町藤岡,[3110232],[],[],2000-01-12,2023-12-31,['2000-01-12'],['2023-12-31'],[3616],[13939],,,5.0,6.0,7659.0,0.818292459609884
2534,2420830,14019,3826,河北町役場,"[2420830, 2420831, 2420832]","[0, 0]","[0.0, 0.0, 0.0]",1998-10-15,2023-12-31,"['1998-10-15', '2018-03-14', '2021-11-12']","['2018-03-14', '2021-11-12', '2023-12-31']","[3826, 3826, 3826]","[14019, 14019, 14019]",,,5.0,6.0,8113.0,0.8184023408979682
2535,5300061,13445,3539,竹野町竹野豊岡市竹野町,"[5300061, 5300032, 5300037]","[0, 0]","[0.0, 0.0, 0.0]",1998-10-15,2023-12-31,"['1998-10-15', '2001-03-22', '2011-01-06']","['2001-03-22', '2011-01-06', '2023-12-31']","[3539, 3539, 3539]","[13445, 13445, 13445]",,,4.0,5.0,8113.0,0.8184919164654381
